filename,rating
86_0_0_20170111222700442.jpg.chip.jpg,1
70_1_1_20170110153248874.jpg.chip.jpg,5
75_0_1_20170111210115928.jpg.chip.jpg,1
89_0_2_20170112220351776.jpg.chip.jpg,1
89_1_3_20170110182042731.jpg.chip.jpg,5
80_0_2_20170112224311842.jpg.chip.jpg,1
70_0_1_20170113175514412.jpg.chip.jpg,1
75_0_0_20170111210525525.jpg.chip.jpg,1
80_0_0_20170117174413373.jpg.chip.jpg,1
78_0_1_20170111210701342.jpg.chip.jpg,1
79_0_1_20170111223356803.jpg.chip.jpg,1
72_1_0_20170110184104942.jpg.chip.jpg,5
93_1_2_20170110173119858.jpg.chip.jpg,4
76_1_3_20170109150736001.jpg.chip.jpg,5
70_1_1_20170117171523132.jpg.chip.jpg,4
86_0_0_20170111210757200.jpg.chip.jpg,1
75_0_1_20170111210608046.jpg.chip.jpg,1
76_0_0_20170111171747674.jpg.chip.jpg,1
85_1_0_20170110182055926.jpg.chip.jpg,5
72_1_0_20170110160644063.jpg.chip.jpg,5
80_1_0_20170111210442298.jpg.chip.jpg,1
78_0_0_20170120225240993.jpg.chip.jpg,1
78_0_0_20170111222257902.jpg.chip.jpg,1
80_1_0_20170110180237499.jpg.chip.jpg,5
76_0_0_20170113175603924.jpg.chip.jpg,1
75_0_0_20170111201904798.jpg.chip.jpg,1
80_1_0_20170110131703927.jpg.chip.jpg,5
85_1_2_20170120230102370.jpg.chip.jpg,4
78_0_2_20170112220542632.jpg.chip.jpg,1
76_1_1_20170110181603235.jpg.chip.jpg,5
85_0_0_20170111210414353.jpg.chip.jpg,1
75_0_0_20170111210708463.jpg.chip.jpg,1
75_0_1_20170111221706652.jpg.chip.jpg,1
74_0_0_20170111223743652.jpg.chip.jpg,1
75_0_0_20170111210552235.jpg.chip.jpg,1
75_1_2_20170110182818569.jpg.chip.jpg,5
116_1_2_20170112220255503.jpg.chip.jpg,4
81_1_0_20170120230536155.jpg.chip.jpg,3
85_1_0_20170110182120593.jpg.chip.jpg,4
76_1_0_20170110140935777.jpg.chip.jpg,5
76_0_0_20170111201944904.jpg.chip.jpg,1
90_0_0_20170111224014347.jpg.chip.jpg,1
90_0_0_20170111223757607.jpg.chip.jpg,1
76_1_0_20170110180413588.jpg.chip.jpg,3
85_1_0_20170110141027202.jpg.chip.jpg,4
72_0_0_20170111221801037.jpg.chip.jpg,1
90_0_2_20170110183643228.jpg.chip.jpg,2
75_0_2_20170112220429241.jpg.chip.jpg,1
73_0_0_20170111223400971.jpg.chip.jpg,1
75_0_1_20170111211400077.jpg.chip.jpg,1
90_0_2_20170111210301275.jpg.chip.jpg,1
73_0_0_20170111211426693.jpg.chip.jpg,1
96_1_0_20170110161321170.jpg.chip.jpg,4
78_0_0_20170112224707532.jpg.chip.jpg,1
75_0_0_20170111210208339.jpg.chip.jpg,1
96_1_0_20170110182433943.jpg.chip.jpg,4
83_0_2_20170112223921515.jpg.chip.jpg,1
90_0_1_20170111205407457.jpg.chip.jpg,1
75_1_1_20170112211657821.jpg.chip.jpg,3
72_0_0_20170111210054315.jpg.chip.jpg,1
90_0_0_20170111222418306.jpg.chip.jpg,1
90_0_2_20170112224517852.jpg.chip.jpg,1
72_1_0_20170110175340308.jpg.chip.jpg,5
78_0_0_20170111210105923.jpg.chip.jpg,1
96_1_2_20170105174624519.jpg.chip.jpg,4
72_1_0_20170110183821487.jpg.chip.jpg,5
90_0_0_20170111210220723.jpg.chip.jpg,1
73_0_1_20170117194956074.jpg.chip.jpg,1
78_0_0_20170111222436497.jpg.chip.jpg,1
85_1_0_20170110183057797.jpg.chip.jpg,5
85_0_2_20170112224212748.jpg.chip.jpg,1
85_1_0_20170110182918046.jpg.chip.jpg,3
73_1_0_20170110183953439.jpg.chip.jpg,5
75_0_0_20170111201111541.jpg.chip.jpg,1
75_0_0_20170112224041371.jpg.chip.jpg,1
